รหัสกิจกรรม,เดือน,สรุปผล
P_1.12,เม.ย.,ดำเนินการ การจัดทำแนวทาง/เอกสารในการรวบร ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.12,พ.ค.,ดำเนินการ การจัดทำแนวทาง/เอกสารในการรวบร ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.12,มิ.ย.,ดำเนินการ การจัดทำแนวทาง/เอกสารในการรวบร ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.13,ม.ค.,ดำเนินการ การพัฒนาเครื่องมือติดตามประสิท ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.13,ก.พ.,ดำเนินการ การพัฒนาเครื่องมือติดตามประสิท ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.13,มี.ค.,ดำเนินการ การพัฒนาเครื่องมือติดตามประสิท ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.13,เม.ย.,ดำเนินการ การพัฒนาเครื่องมือติดตามประสิท ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.13,พ.ค.,ดำเนินการ การพัฒนาเครื่องมือติดตามประสิท ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.13,มิ.ย.,ดำเนินการ การพัฒนาเครื่องมือติดตามประสิท ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.14,ม.ค.,ดำเนินการ การพัฒนาทะเบียนกฎหมาย เนื้อหาข ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.14,ก.พ.,ดำเนินการ การพัฒนาทะเบียนกฎหมาย เนื้อหาข ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.14,มี.ค.,ดำเนินการ การพัฒนาทะเบียนกฎหมาย เนื้อหาข ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.14,เม.ย.,ดำเนินการ การพัฒนาทะเบียนกฎหมาย เนื้อหาข ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.14,พ.ค.,ดำเนินการ การพัฒนาทะเบียนกฎหมาย เนื้อหาข ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_1.14,มิ.ย.,ดำเนินการ การพัฒนาทะเบียนกฎหมาย เนื้อหาข ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.1.2,พ.ค.,ดำเนินการ ทบทวนโครงสร้างและบทบาทหน้าที่ด ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.1.2,มิ.ย.,ดำเนินการ ทบทวนโครงสร้างและบทบาทหน้าที่ด ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.1.3,มิ.ย.,ดำเนินการ ทบทวนกรอบการดำเนินงานและคู่มือ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.1,ม.ค.,ดำเนินการ ทบทวน Competency / พฤติกรรมพึง ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.1,ก.พ.,ดำเนินการ ทบทวน Competency / พฤติกรรมพึง ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.1,มี.ค.,ดำเนินการ ทบทวน Competency / พฤติกรรมพึง ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.1,เม.ย.,ดำเนินการ ทบทวน Competency / พฤติกรรมพึง ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.1,พ.ค.,ดำเนินการ ทบทวน Competency / พฤติกรรมพึง ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.1,มิ.ย.,ดำเนินการ ทบทวน Competency / พฤติกรรมพึง ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.2,ม.ค.,ดำเนินการ อบรมและพัฒนาพนักงานตาม Compete ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.2,ก.พ.,ดำเนินการ อบรมและพัฒนาพนักงานตาม Compete ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.2,มี.ค.,ดำเนินการ อบรมและพัฒนาพนักงานตาม Compete ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.2,เม.ย.,ดำเนินการ อบรมและพัฒนาพนักงานตาม Compete ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.2,พ.ค.,ดำเนินการ อบรมและพัฒนาพนักงานตาม Compete ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.2,มิ.ย.,ดำเนินการ อบรมและพัฒนาพนักงานตาม Compete ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.3,ม.ค.,ดำเนินการ สื่อสารสร้างความตระหนักด้านการ ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.3,ก.พ.,ดำเนินการ สื่อสารสร้างความตระหนักด้านการ ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.3,มี.ค.,ดำเนินการ สื่อสารสร้างความตระหนักด้านการ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.3,เม.ย.,ดำเนินการ สื่อสารสร้างความตระหนักด้านการ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.3,พ.ค.,ดำเนินการ สื่อสารสร้างความตระหนักด้านการ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.3,มิ.ย.,ดำเนินการ สื่อสารสร้างความตระหนักด้านการ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.5,ม.ค.,ดำเนินการ ทบทวนการจัดทำการเชื่อมโยง KPI  ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.5,ก.พ.,ดำเนินการ ทบทวนการจัดทำการเชื่อมโยง KPI  ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.5,มี.ค.,ดำเนินการ ทบทวนการจัดทำการเชื่อมโยง KPI  ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.5,เม.ย.,ดำเนินการ ทบทวนการจัดทำการเชื่อมโยง KPI  ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.5,พ.ค.,ดำเนินการ ทบทวนการจัดทำการเชื่อมโยง KPI  ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.5,มิ.ย.,ดำเนินการ ทบทวนการจัดทำการเชื่อมโยง KPI  ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.6,ม.ค.,ดำเนินการ ดำเนินการตามโครงการ MEA GRC Aw ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.6,ก.พ.,ดำเนินการ ดำเนินการตามโครงการ MEA GRC Aw ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.6,มี.ค.,ดำเนินการ ดำเนินการตามโครงการ MEA GRC Aw ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.6,เม.ย.,ดำเนินการ ดำเนินการตามโครงการ MEA GRC Aw ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.6,พ.ค.,ดำเนินการ ดำเนินการตามโครงการ MEA GRC Aw ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.2.6,มิ.ย.,ดำเนินการ ดำเนินการตามโครงการ MEA GRC Aw ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.1,ม.ค.,ดำเนินการ ทบทวนหลักการกำหนด RA/RT และ RA ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.1,ก.พ.,ดำเนินการ ทบทวนหลักการกำหนด RA/RT และ RA ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.1,มี.ค.,ดำเนินการ ทบทวนหลักการกำหนด RA/RT และ RA ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.1,เม.ย.,ดำเนินการ ทบทวนหลักการกำหนด RA/RT และ RA ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.1,พ.ค.,ดำเนินการ ทบทวนหลักการกำหนด RA/RT และ RA ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.1,มิ.ย.,ดำเนินการ ทบทวนหลักการกำหนด RA/RT และ RA ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.2,ม.ค.,ดำเนินการ ระบุ Emerging Risk เป็นข้อมูลน ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.2,ก.พ.,ดำเนินการ ระบุ Emerging Risk เป็นข้อมูลน ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.2,มี.ค.,ดำเนินการ ระบุ Emerging Risk เป็นข้อมูลน ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.2,เม.ย.,ดำเนินการ ระบุ Emerging Risk เป็นข้อมูลน ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.2,พ.ค.,ดำเนินการ ระบุ Emerging Risk เป็นข้อมูลน ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.2,มิ.ย.,ดำเนินการ ระบุ Emerging Risk เป็นข้อมูลน ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.3,เม.ย.,ดำเนินการ ระบุ Intelligent Risk ที่อาจส่ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.3,พ.ค.,ดำเนินการ ระบุ Intelligent Risk ที่อาจส่ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.3,มิ.ย.,ดำเนินการ ระบุ Intelligent Risk ที่อาจส่ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.4,เม.ย.,ดำเนินการ ระบุและวิเคราะห์ความเสี่ยงที่อ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.4,พ.ค.,ดำเนินการ ระบุและวิเคราะห์ความเสี่ยงที่อ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.4,มิ.ย.,ดำเนินการ ระบุและวิเคราะห์ความเสี่ยงที่อ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.5,พ.ค.,ดำเนินการ ทบทวนแบบฟอร์มและเกณฑ์การประเมิ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.5,มิ.ย.,ดำเนินการ ทบทวนแบบฟอร์มและเกณฑ์การประเมิ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.6,มิ.ย.,ดำเนินการ สื่อสารแบบฟอร์มการประเมินความเ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.3.7,มิ.ย.,ดำเนินการ ติดตามการวิเคราะห์ ระบุ และประ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.1,ม.ค.,ดำเนินการ รวบรวม/วิเคราะห์ข้อมูลความเสี่ ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.1,ก.พ.,ดำเนินการ รวบรวม/วิเคราะห์ข้อมูลความเสี่ ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.1,มี.ค.,ดำเนินการ รวบรวม/วิเคราะห์ข้อมูลความเสี่ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.1,เม.ย.,ดำเนินการ รวบรวม/วิเคราะห์ข้อมูลความเสี่ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.1,พ.ค.,ดำเนินการ รวบรวม/วิเคราะห์ข้อมูลความเสี่ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.1,มิ.ย.,ดำเนินการ รวบรวม/วิเคราะห์ข้อมูลความเสี่ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.2,มิ.ย.,ดำเนินการ คัดเลือกปัจจัยเสี่ยงระดับองค์ก ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.6,ม.ค.,ดำเนินการ ติดตามและรายงานผลการบริหารความ ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.6,ก.พ.,ดำเนินการ ติดตามและรายงานผลการบริหารความ ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.6,มี.ค.,ดำเนินการ ติดตามและรายงานผลการบริหารความ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.6,เม.ย.,ดำเนินการ ติดตามและรายงานผลการบริหารความ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.6,พ.ค.,ดำเนินการ ติดตามและรายงานผลการบริหารความ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.6,มิ.ย.,ดำเนินการ ติดตามและรายงานผลการบริหารความ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.7,ม.ค.,ดำเนินการ พัฒนาระบบเทคโนโลยีดิจิทัลเพื่อ ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.7,ก.พ.,ดำเนินการ พัฒนาระบบเทคโนโลยีดิจิทัลเพื่อ ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.7,มี.ค.,ดำเนินการ พัฒนาระบบเทคโนโลยีดิจิทัลเพื่อ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.7,เม.ย.,ดำเนินการ พัฒนาระบบเทคโนโลยีดิจิทัลเพื่อ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.7,พ.ค.,ดำเนินการ พัฒนาระบบเทคโนโลยีดิจิทัลเพื่อ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.4.7,มิ.ย.,ดำเนินการ พัฒนาระบบเทคโนโลยีดิจิทัลเพื่อ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.1,ม.ค.,ดำเนินการ วิเคราะห์ผลกระทบทางธุรกิจ ประเ ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.1,ก.พ.,ดำเนินการ วิเคราะห์ผลกระทบทางธุรกิจ ประเ ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.1,มี.ค.,ดำเนินการ วิเคราะห์ผลกระทบทางธุรกิจ ประเ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.1,เม.ย.,ดำเนินการ วิเคราะห์ผลกระทบทางธุรกิจ ประเ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.1,พ.ค.,ดำเนินการ วิเคราะห์ผลกระทบทางธุรกิจ ประเ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.1,มิ.ย.,ดำเนินการ วิเคราะห์ผลกระทบทางธุรกิจ ประเ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.2,มี.ค.,ดำเนินการ ติดตามและเข้าร่วมฝึกซ้อม BCP ข ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.2,เม.ย.,ดำเนินการ ติดตามและเข้าร่วมฝึกซ้อม BCP ข ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.2,พ.ค.,ดำเนินการ ติดตามและเข้าร่วมฝึกซ้อม BCP ข ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.2,มิ.ย.,ดำเนินการ ติดตามและเข้าร่วมฝึกซ้อม BCP ข ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.3,มี.ค.,ดำเนินการ ฝึกซ้อมสถานการณ์ใหญ่ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.3,เม.ย.,ดำเนินการ ฝึกซ้อมสถานการณ์ใหญ่ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.3,พ.ค.,ดำเนินการ ฝึกซ้อมสถานการณ์ใหญ่ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.3,มิ.ย.,ดำเนินการ ฝึกซ้อมสถานการณ์ใหญ่ ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.4,ม.ค.,ดำเนินการ สร้างความตระหนักและสื่อสารข้อม ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.4,ก.พ.,ดำเนินการ สร้างความตระหนักและสื่อสารข้อม ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.4,มี.ค.,ดำเนินการ สร้างความตระหนักและสื่อสารข้อม ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.4,เม.ย.,ดำเนินการ สร้างความตระหนักและสื่อสารข้อม ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.4,พ.ค.,ดำเนินการ สร้างความตระหนักและสื่อสารข้อม ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
M_2.5.4,มิ.ย.,ดำเนินการ สร้างความตระหนักและสื่อสารข้อม ตามแผนในเดือนมิ.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.1,ม.ค.,ดำเนินการ ปรับปรุงฐานข้อมูลที่ใช้ในการวิ ตามแผนในเดือนม.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.1,ก.พ.,ดำเนินการ ปรับปรุงฐานข้อมูลที่ใช้ในการวิ ตามแผนในเดือนก.พ. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.1,มี.ค.,ดำเนินการ ปรับปรุงฐานข้อมูลที่ใช้ในการวิ ตามแผนในเดือนมี.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.1,เม.ย.,ดำเนินการ ปรับปรุงฐานข้อมูลที่ใช้ในการวิ ตามแผนในเดือนเม.ย. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
P_3.1,พ.ค.,ดำเนินการ ปรับปรุงฐานข้อมูลที่ใช้ในการวิ ตามแผนในเดือนพ.ค. (สรุปย่อ — แก้เป็นเนื้อหาจริงได้)
